"country","date","tested","confirmed","confirmed.tested.ratio","tested.population.ratio","confirmed.population.ratio"
"Tunisia",NA,2893625,703732,24.3,24.5,6
"Turkey",NA,61236294,5435831,8.9,73.6,6.5
"Uganda",NA,852444,39979,4.7,1.9,0.087
"Ukraine",NA,15648456,3367461,21.5,37.2,8
"United Arab Emirates",NA,198685717,1049537,0.53,2070,10.9
"United Kingdom",NA,522526476,22232377,4.3,774,32.9
"United States",NA,929349291,90749469,9.8,281,27.4
"Uruguay",NA,6089116,895592,14.7,175,25.8
"Uzbekistan",NA,2630000,43975,1.7,7.7,0.13
"Venezuela",NA,3179074,159149,5,11,0.55
"Vietnam",NA,45772571,11403302,24.9,46.4,11.6
"Zambia",NA,3301860,314850,9.5,19,1.8
"Zimbabwe",NA,2529087,257893,10.2,17,1.7
